	AUR-AFEA-TTP1-A-1-0-R-A741-41	AUR-AFEA-TTM4-A-1-1-R-A742-41	AUR-AFEA-TTM2-A-1-1-R-A742-41	AUR-AFEA-TTM1-A-1-1-R-A742-41	AUR-AFEA-TTM3-A-1-1-R-A742-41	AUR-AFEA-TTM6-A-1-0-R-A741-41	AUR-AFE7-TTP2-A-1-1-R-A742-41	AUR-AFE7-TTM2-A-1-1-R-A742-41	AUR-AFE7-TTM1-A-1-1-R-A742-41	AUR-AFE7-TTM3-A-1-1-R-A742-41	AUR-AD9G-TTP1-B-4-0-R-A584-39	AUR-AD9G-TTM2-A-1-1-R-A542-39	AUR-AD9G-TTM3-A-1-1-R-A542-39	AUR-AFE5-TTP1-A-1-0-R-A741-41	AUR-AFE5-TTM4-A-1-1-R-A742-41	AUR-AFE5-TTM9-A-1-1-R-A742-41	AUR-AG0N-TTP1-A-1-0-R-A741-41	AUR-AG0N-TTM1-A-1-1-R-A743-41	AUR-AG0M-TTP1-A-2-0-R-A741-41	AUR-AG0M-TTM1-A-2-1-R-A743-41	AUR-AG0J-TTP1-A-1-0-R-A741-41	AUR-AG0J-TTM1-A-1-0-R-A743-41	AUR-AFSP-TTP1-A-8-0-R-A741-41	AUR-AFSP-TTM1-A-8-0-R-A741-41	AUR-AF9A-TTP1-A-1-0-R-A741-41	AUR-AF9A-TTM1-A-1-1-R-A742-41	AUR-AF98-TTP1-A-1-0-R-A741-41	AUR-AF98-TTM1-A-1-1-R-A742-41	AUR-AF95-TTP1-A-1-0-R-A741-41	AUR-AF95-TTM1-A-1-1-R-A742-41	AUR-AFSL-TTP1-A-8-0-R-A741-41	AUR-AFSL-TTM1-A-8-0-R-A741-41	AUR-AFR5-TTP1-A-1-1-R-A743-41	AUR-AFR5-TTM1-A-1-1-R-A743-41	AUR-AE6Y-TTP1-A-1-0-R-A741-41	AUR-AE6Y-TTM1-A-1-1-R-A742-41	AUR-AE5H-TTP1-A-1-1-R-A742-41	AUR-AE5H-TTM1-A-1-1-R-A742-41	AUR-AFUI-TTP1-A-1-0-R-A743-41	AUR-AFUI-TTM1-A-1-0-R-A743-41	AUR-AER7-TTP1-A-1-0-R-A741-41	AUR-AER7-TTM4-A-1-1-R-A742-41	AUR-AER6-TTP1-A-1-0-R-A741-41	AUR-AER6-TTM2-A-1-1-R-A742-41	AUR-AER6-TTM3-A-1-1-R-A742-41	AUR-AER6-TTM7-A-1-1-R-A742-41	AUR-AER6-TTM9-A-1-1-R-A742-41	AUR-AER6-TTM6-A-1-1-R-A742-41	AUR-AER6-TTM5-A-1-1-R-A742-41	AUR-AER6-TTM1-A-1-1-R-A742-41	AUR-AER6-TTM10-A-1-1-R-A742-41	AUR-AFEC-TTP2-A-1-1-R-A742-41	AUR-AFEC-TTM3-A-1-1-R-A742-41	AUR-AFEC-TTM4-A-1-1-R-A742-41	AUR-AFEC-TTM6-A-1-1-R-A742-41	AUR-AG12-TTP1-A-1-0-R-A741-41	AUR-AG12-TTM1-A-1-1-R-A743-41	AUR-AERX-TTP1-A-1-0-R-A741-41	AUR-AERX-TTM1-A-1-1-R-A742-41	AUR-AERW-TTP1-B-1-0-R-A741-41	AUR-AERW-TTM1-A-1-1-R-A742-41	AUR-AFSO-TTP1-A-8-0-R-A741-41	AUR-AFSO-TTM1-A-8-0-R-A741-41	AUR-AFR3-TTP1-A-2-1-R-A743-41	AUR-AFR3-TTM1-A-1-1-R-A743-41	AUR-AE5G-TTP1-A-1-1-R-A742-41	AUR-AE5G-TTM1-A-1-1-R-A742-41	AUR-AF94-TTP1-A-1-0-R-A741-41	AUR-AF94-TTM1-A-1-1-R-A742-41	AUR-AFE4-TTP1-A-1-0-R-A741-41	AUR-AFE4-TTM1-A-1-1-R-A742-41	AUR-AFE4-TTM6-A-1-1-R-A742-41	AUR-AFE4-TTM5-A-1-1-R-A742-41	AUR-AFUN-TTP1-A-1-0-R-A741-41	AUR-AFUN-TTM1-A-1-0-R-A743-41	AUR-AFUL-TTP1-A-1-1-R-A743-41	AUR-AFUL-TTM1-A-1-1-R-A743-41	AUR-AFKB-TTP1-A-10-0-R-A741-41	AUR-AFKB-TTM1-A-1-1-R-A742-41	AUR-AEPZ-TTP1-A-1-1-R-A742-41	AUR-AEPZ-TTM1-A-1-1-R-A742-41	AUR-AER8-TTP1-A-1-0-R-A741-41	AUR-AER8-TTM2-A-1-1-R-A742-41	AUR-AFKF-TTP1-A-10-0-R-A741-41	AUR-AFKF-TTM1-A-1-1-R-A742-41	AUR-AFUM-TTP1-A-1-0-R-A741-41	AUR-AFUM-TTM1-A-1-1-R-A743-41	AUR-AFE9-TTP1-A-1-0-R-A741-41	AUR-AFE9-TTM1-A-1-1-R-A742-41	AUR-AFE9-TTM4-A-1-1-R-A742-41	AUR-AFE9-TTM2-A-1-1-R-A742-41	AUR-AFE9-TTM3-A-1-1-R-A742-41	AUR-AER2-TTP1-A-1-1-R-A742-41	AUR-AER2-TTM3-A-1-1-R-A742-41	AUR-AER2-TTM1-A-1-1-R-A742-41	AUR-AFE6-TTP1-A-1-0-R-A741-41	AUR-AFE6-TTM2-A-1-1-R-A742-41	AUR-AFE6-TTM1-A-1-1-R-A742-41	AUR-AFR4-TTP1-A-1-1-R-A743-41	AUR-AFR4-TTM1-A-1-1-R-A743-41	AUR-AE6X-TTP1-A-1-0-R-A741-41	AUR-AE6X-TTM1-A-1-1-R-A742-41	AUR-AFKD-TTP1-A-1-1-R-A742-41	AUR-AER4-TTP1-A-1-0-R-A741-41	AUR-AD9J-TTP1-B-4-0-R-A584-39	AUR-AFUO-TTP1-A-1-0-R-A741-41	AUR-AFR2-TTP1-A-1-1-R-A742-41	AUR-AERY-TTM1-A-1-1-R-A742-41	AUR-ADCB-TTM1-A-1-1-R-A742-41	AUR-AD9I-TTM3-A-1-1-R-A542-39	AUR-AD9E-TTM1-A-1-1-R-A542-39	AUR-AFUP-TTM1-A-1-1-R-A743-41	AUR-AFUK-TTM2-A-1-0-R-A743-41	AUR-AD9H-TTM1-A-2-1-R-A542-39	AUR-AD9E-TTM4-A-1-1-R-A542-39	AUR-AD9E-TTM2-A-1-1-R-A542-39	AUR-AFUK-TTM1-A-1-0-R-A743-41	AUR-AD9H-TTM3-A-1-1-R-A542-39	AUR-AD9H-TTM2-A-1-1-R-A542-39	AUR-AD9F-TTM3-A-1-1-R-A542-39	AUR-AD9F-TTM1-A-1-1-R-A542-39	AUR-AD9F-TTM2-A-1-1-R-A542-39	AUR-AFUG-TTM1-A-1-1-R-A743-41	AUR-AFE5-NT1-A-1-1-R-A742-41	AUR-AFE9-NT1-A-1-1-R-A742-41	AUR-AFE6-NT1-A-1-1-R-A742-41	AUR-AFE4-NT1-A-1-1-R-A742-41	AUR-AE5G-NT1-A-1-1-R-A742-41	AUR-AFEC-NT1-A-1-1-R-A742-41
N:GEXP::BUB1:699:	806.0005121	5053.9964	3342.00166	1600.00474	1367.00198	2797.0058	2279.003	8160.0022	4618.0044	5376.0047	851.00155	528.00055	711.00061	1997.00252	1188.99984	608.99956	1394.0005	5714.005	992.00084	3979.00178	788.00036	1973.00201	302.999767	449.99975	760.00035	3169.99782	522.99953	1650.00308	1845.9978	4454.002	2204.99877	1725.9963	1335.00057	2023.00528	1955.0021	3996.99735	7679.00503	1982.00366	1873.99568	4176.00305	444.99999	159.00017	738.00016	1047.00071	2585.99828	945.99953	1361.99981	548.0003	504.00014	595.00019	369.00008	977.99973	2094.99962	7480.99856	2165.99952	562.00047	1561.99888	766.00056	1728.00467	356.00007	1945.99785	736.00044	1472.00052	4137.00422	3356.00302	2525.99758	4931.99952	523.00033	1299.00208	372.0009	688.99954	839.9999	636.00044	71.00007	682.99981	1432.99838	199.99989	153.0001	1035.99964	481.0007	149.00007	70.0001	911.99967	221.0001	2913.99776	86.00001	7447.9969	315.00017	1468.00144	61.00003	70.99996	304.00001	983.00027	170.99975	682.00029	206.00041	460.99998	1502.99674	876.00024	3805.00176	383.0006	3139.9973	1964.99751	62.00003	114.00011	205.00027	2875.0032	2651.00203	1054.0004	858.9999263	2632.99872	1241.99559	183.00052	48.99997	254.00039	424.00003	721.00053	785.9994	1093.00054	1029.99924	1481.00017	1009.00051	2445.00116	6	96.00003	108.00007	12	362.9998	76.00001
N:GEXP::BUB1B:701:	358.1715	2398.45209	1656.53945	686.89116	624.99997	1059.93164	594.67878	1412.83796	903.54029	1240.02949	162.7167	257.033716	457.90406	989.39766	484.26693	279.82273	1077.8335	3655.28485	570.87605	2931.64196	546.843883	4190.68585	159.00042	318.6689884	443.781744	2225.99194	402.75894	689.813144	962.8114	2034.944	1397.09637	499.77357	1598.91716	2026.43726	985.85902	1947.23616	4525.58671	1358.12856	1324.24793	2092.32424	280.84512	86.00005	691.38863	778.95313	1981.73864	1014.99627	998.67981	415.24701	743.69279	603.40031	391.0090534	484.15626	1246.18329	3564.92339	1119.10083	467.82209	1474.38798	631.53667	1345.175	449.04161	2049.14146	747.95643	1073.61192	3380.06975	3177.53553	1975.55946	2606.3914	308.108741	750.20581	178.2297401	313.437471	859.38255	451.9532407	72.96037	521.4984	1026.0672	165.390296	64.00007	1149.92644	432.53131	180.510001	56.96552	1483.36981	136.844847	3158.77242	54.00002	6473.44103	278.7708	984.05768	39.051022	36.9461	198.00043	437.9791	96.87332	243.96068	117.15076	949.40042	1123.99775	481.59422	1486.66601	209.68627	2467.8264	1743.78272	62.00007	80.19825	293.7478	2376.98462	2799.71863	493.61635	1124.81796	3819.13678	517.47157	136.87733	50.49185	301.87454	332.6013	518.56476	838.10945	1384.04014	901.34226	1352.5804	781.90396	2455.77778	1.999999	33.00002	32.00001934	9.9999994	346.99969	54
N:GEXP::C17orf28:283987:	364.0002	1058.00055	1815.99994	791.00017	389.00001	325.00031	1236.00097	1705.99767	1048.00033	1277.99965	295.99993	632.99962	794.00043	74.00004	839.00023	449.00013	252.99961	487.99967	429.99971	691.00024	510.00033	571.0003	389.00053	332.00075	861.00036	968.00006	709.99994	1482.99987	762.99959	3352.0048	443.00022	327.99985	1169.00041	2361.99794	658.00085	1108.99998	1003.99953	583.99993	1078.00054	781.00022	331.00005	765.0004	741.00098	3042.99964	1679.0006	1893.00324	1084.9995	1464.99765	2429.00475	2837.00249	3184.00219	174.99999	687.00071	2098.00166	461.00028	1825.99947	6558.99525	4234.99805	6993.99655	2796.99655	5619.99503	1323.00105	2003.99549	5085.99678	5774.99695	5984.00481	6107.99856	1830.99869	10246.00438	799.00029	4553.99591	6433.00098	5299.99853	519.00038	2510.00258	2367.99867	2996.99586	605.0001	7989.00391	8349.99978	5997.00571	2964.00514	8018.0038	1197.9999	14160.00286	324.00004	178.00033	198.99968	2835.00358	588.99968	941.99994	2464.99662	2599.00033	1165.00019	1409.99997	171.00008	148.0000844	24.99999614	2132.00275	207.00033	479.99954	894.00046	150.99956	1961.0015	345.00014	491.0016	2590.99559	8568.99771	10620.00215	11053.00015	7847.00428	11806.02675	5558.00434	534.9999	7497.00706	5236.00272	1741.00398	4966.00355	4561.00236	4172.99637	6819.00465	4314.00394	6478.00075	5175.0073	3050.00412	1096.00025	114.999961	1462.99636	558.00015
N:GEXP::C17orf37:84299:	215.6181	765.1148	775.30543	345.09861	304.0847	301.7795	979.2029	2950.7418	1783.6123	1635.27988	170.5672	555.05528	378.0745	181.9922	781.593	578.7454	361.0807	1131.6912	263.5773	842.4428	267.53108	1357.84728	157.85069	117.46141	400.9096	934.799	284.75131	1196.4764	311.7956	1347.36616	333.2815	385.3333	848.0909	813.144	562.677	750.72439	1087.5185	406.02942	475.31094	1311.3698	199.8174	640.0802	634.6238	1204.4101	1113.1768	783.2982	129.30966	426.091	908.18521	1399.3575	1363.1729	301.1073	975.51617	2082.10877	832.1786	4323.44902	11913.0111	9775.8251	23108.754	4189.1612	6228.406	1043.0395	5908.30553	1234.9919	10652.937	5915.5359	8793.7988	461.4833	1575.1688	441.0988	711.5655	1202.6282	577.90514	61.697366	452.3	1687.3506	2083.10235	148.86242	1434.7594	1054.67502	941.0328	584.8508	1152.4575	458.5475	3208.12	143.14135	1290.4884	127.0363	966.2179	586.11673	470.0783	582.24098	363.0003	192.05213	161.1859	379.5874	451.0278	304.16129	841.1661	955.5733	157.63216	1406.362	989.1904	444.9887	134.03701	120.5486	1089.3234	20617.677	22694.18	2643.64863	2671.416	1568.5641	1836.735	109	982.76353	817.2567	3077.9059	1578.578	2125.28	1400.628	1578.6222	898.445	9991.465	876.98397	848.0438	539.37137	1037.224	559.3925	414.0169
N:GEXP::C2orf40:84417:	5	7	47	12	7.999999	4	27	4	33	2	10.00001	4	22	9	3	14	4	0	22.00001	317.00033	51	29	13.00001	29	34	34.00006	12.00001	9	175.00008	1650.00054	19.00002	18.99998	6	4	2	5	99	40.00002	1	6	3	4	54.99998	66.99994	29	21.00001	12	193.99986	343.99989	17.00005	7	8	6	6	6	49	2	8	0	17	27	10	15	8	6.00001	39	7	5.00001	5	55.00005	29	4.000001	27.00004	11	379.00033	625.00006	109	16.00005	25.00005	175.9997	4.000002	8	19.00002	4	10	32	34.99996	0	70.00002	7	157.0002	355.99923	27.00005	13	22.99997	22.00002	1	1	560.00032	188.00003	46	319.00006	3.999999	40.99998	14.00001	4.00001	24	5	19.99996	2	12	30.00003	147	2	3	20.99999	7.999998	3	0	32	5	23.00003	37.00000001	28.00004	67.00002	492	6.999999	533.00008	492.00053
N:GEXP::C4orf34:201895:	699.9999	1284.99932	2883.00206	296.99997	1059.00042	1169.99838	2632.00075	9705.9997	4587.00557	5569.00291	675.0008	6998.0024	1309.99914	1027.00104	1336.99701	1322.00399	1495.99734	1928.0019	4105.00644	3710.00283	2154.9965	4176.0004	675.0008	821.00101	2147.99628	3389.9962	900.0003	1999.00101	2516.00484	6338.9956	2484.00014	2004.00385	1710.58	388.0004	1369.001	2533.0024	4949.9994	4702.00219	5458.9501	7036.9995	2518.00478	1462.00367	2955.00082	3000.0028	6120.00202	2200.9985	1912.9992	4049.99953	1756.9968	3449.00292	1611.9983	1872.99556	5910.0033	10556.996	4845.001502	3645.006	6674.00316	8215.00076	17876.00044	1391.99569	6889.00062	3664.00342	2914.00464	13473.0154	8680.9993	13493.9922	30401.0406	4593.00323	13616.9809	4831.00262	12500.9246	48831.993	7145.0032	1699.00567	20501.9993	21690.951	14408.954	3751.99744	30444.0223	9550.997	10118.9961	3588.00336	2904.9977	7567.00337	28639.032	2190	2888.9993	6239.9994	19170.96296	9178.999	4870.00052	12680.9935	3450.001	817.00046	3056.99619	4107.99671	457.00042	820.00007	5163.00117	1332.9989	2245.99699	5081.0041	1363.00083	2085.99716	3010.0037	876.00086	11347.9998	7258	11922.9611	20795.01705	8982	38822.98932	13922.0242	1265.99979	3051.998933	5988.00476	13389.0273	6284.00275	5517.9997	13696.049	15028.96738	11923.9784	11022.962	863.999643	4560.9959	6725.00496	14453.9963	6261.99719	7081.0036
N:GEXP::C6orf211:79624:	203.00021	704.9998	849.9999	182.0001	251.0001	462.00045	1206.0046	3281.9987	1866.0043	1724.004	184.99996	699.00048	463.9999	373.99985	671.0004	383.0001	324.00012	665.99987	772.00077	1585.0034	556.00042	1207.9991	64.0001	138.00008	636.00026	2739.0009	265.00062	1386.9953	523.00022	1020.00082	513.00007	492.99985	157.00001	154	709.00048	1398.9976	823	729.00054	1052.99995	1906.9977	287.99977	189.0002	556.00046	544.0002	1949.0003	733.99999	566.9997	1069.9997	515.9996	905.0004	376.9996	514.9996386	1030.0004	1862.9977	1130.0008	1197.9977	3202.0034	789.00013	1657.9968	357.99964	2605.9963	1432.0006	1032.0004	40068.0257	8410.003	3796.0046	7849.9985	850.0001	5185.997	1248.003056	4816.9996	24829.0025	2974.002	357	2862.9961	5053.997	4104.9975	1812.0037	6442.0008	4690.999	1989.003	453.99969	511.99989	396	3129.99605	397.00053	1221.0005	4738.0045	23891.955	1916.0012	1472.0043	4330.9976	2932.0031	262.9996	1572.0013	596.9998707	157.000288	245.99967	989.99982	1267.0017	443.00029	1490.0006	736.9999	409	388	588.001	8132.9985	1136.99769	1546.0046	10265.95665	4006.001	2576.9996	1626.0009	334.00016	1536.00133	854.00036	1935.9959	6076.002	2677.0013	1690.0009	2137.996	1840.0043	3056.9992	90.00000059	801.0002	989.9999	1340.00196	1221.9963	1124.99978
N:GEXP::C6orf97:80129:	68.99998	165.99999	159.0001	107.00028	66	146.0004	54	54.00003	48.00006	65.00001	83.0001	76.00003	179.9998	136.00022	75	53.00002	54	66.99998	130.00006	132.99969	152.00048	50.00004	108.00012	53.000076	139.99955	141.99956	72.00001	246.0005	231.0001	152.99952	190.9996	257.9997	151.00024	51	113.00013	23.99996	294.99983	114	319.99982	247.99947	137	220.00051	146.00004	68.00004	314.00033	130.00035	34	53.000039	33.99997	242.00029	57.999996	160.0003	47.99998	99.99999	135.00038	239.99965	44.999984	241	302.99967	123.99983	265.0004	510.00046	172.99968	3453.004	35	469.0005	1572.9998	362.00053	1769.9987	354.00006	855.0001	3111.9976	804.9997	626.0006	2853.0046	1386.0027	3091.997	1609.00437	1972	2821.0027	1790.9994	201.99963	67.99997	191	274.99995	291.0004	52.00002	592.0007	2246.0021	121.99957	664.9998	487.99962	560.0002	145.00006	252.99953	357.00003	164.99971	96.00002	476.99993	67.99997	305.00062	41.99997	201.99989	327.99974	207.00006	772.00124	2885	39.00001	230.00041	750.0004	942.9996	2845.99804	635.0002	167.0002	622.0004	514.0002	257.00026	730.0004	692.0007	188.00003	79.999986	161.99982	417	29.999962	87	8113.0062	19.99997	339.9995	395.9996
N:GEXP::CA12:771:	367.99934	1424.00056	445.99959	331.00049	5280.0023	17.00004	859.99979	124	72.99997	116.0001	622.00071	439.00008	558	845.00043	204.9999	28.99998	114	449.99995	269.0001	3568.99627	192.00056	16	85.00009	537.00054	1114.00047	4464.0038	405.00003	900.00016	261.0008	1774.00031	405.00019	167.9997	104	65.99998	147.0001	309	857	241.99911	3069.0027	6680.99324	115.99993	530.00023	7344.00122	7382.0028	12125.9981	6169.0003	2668.0039	2916.9962	7165.0001	5980.9929	4371.9973	1559.0002	11054.0083	11314.0012	6765.00188	497.99981	362	2209.0041	2435.00095	573.9993	5672.00409	4532.9952	924.99989	19885.03361	703.99984	22399.0526	4275.9983	6912.99697	25463.9485	3335.0084	17956.9871	42298.0455	13524.99872	2567.9987	10829.0049	33974.0093	7028.9993	5107.99954	2907.00328	34320.0193	31651.9965	1847.0008	8216.9933	3410.0004	17877.0388	2480.0024	2439.0045	5784.001	13422.00172	1644.99997	209.00011	6066.0022	12693.9961	3181.99726	7732.0017	10506.99585	1225.0006	5697.997	6239.9994	521	310.00036	505	28407.9932	5384.00449	1678.00209	1407.0022	8878.0004	1211.00047	1010.00002	15155.0012	6027.9939	40595.02	11717.0066	5557.9998	5909.9953	3622.00316	10579.0015	51670.0634	45312.08346	9006.0003	17423.9572	9937.991	21988.00813	116.00009	116	86.999997	69.99997	5065.9996	4294.99225
N:GEXP::CACNA1H:8912:	134.999829	156.00012	97.99999	183.77381	109.00004	85.00003947	251.00036	124.00023	81.9999901	126	57	1308.99987	611.0008	36.000076	1800.99082	69	283.00048	207.99967	106.0000799	1621.6826	187.0001903	429.89162	194.999716	101.00007	114.9998385	168.999719	124.9995929	265.9999715	239.000347	207.9995022	144.00039	176.0000496	1759.000469	8987.955864	160.0005	130	187.00004	82.0000106	242.99998	255.9997311	80.99990018	611.944868	407.81926	3340.94699	484.00001	56.00003	589.00021	8826.863	3065.90911	228.00027	2559.958594	151.9998988	75.00003	209.0004682	264.9996	975.0004207	170.00013	137.0003997	87	177.401147	32.99994984	473.13363	287.999675	308.0003	5403.286	2767.50516	12701.7068	1971.024804	4431.53186	1102.41419	7986.5772	13490.1647	18459.73112	653.56259	6140.663059	528.4898952	3738.7945	445.84159	81.00000575	748.00037	270.56737	540.64713	500.99985	551.999817	711.00078	188.08479	128	61.40463654	923.69232	411.9998816	510.00077	444.93525	2491.9417	2745.952925	1323.9996	866.6935	3009.97888	1172.99908	319.0000067	105.0000509	222.0003141	1534.977841	179.9996199	943.97251	270.00069	62.0001	4677.219081	734.9993279	6315.729	3820.86181	642.9999802	2602.39679	611.99987	194.0003	157.999649	2363.00105	229.77292	3731.003111	3778.998042	12066.99	667.99988	273.00017	1190.35025	2667.00074	544.9994	994.71217	157.00039	226.9994	195.00017
N:GEXP::CCNA2:890:	218	2279.36	1440.814	282.482	726.132	1157.058	624.753	2013.94	1260.207	1188.642	724.75	472.732	916.2	1248.8642	566.565	493.618	1305.4121	3587.963	447.138	1254.585	646.106	1954.559	209.503	501.081	409.853	1981.76158	421.967	1791.621	1130.419	2713.71	1673.728	620.391	837.799	659.887	988.13596	4186.29	3977.79	1354.411	1172.41538	2718.55	420.481	121.56	2210.37	2106.12	4699.64	3330.44	2250.83	1002.656	2172.17	1274.747	691.223	689.427	1029.546	3326.94	1492.9602	441.997	1000.406	606.7317202	1324.508674	170.5328	2320.82	1190.491	2829.19	3819.625	2909.2	3261.77	6048.09	408.047	912.221	292.47	651.749	1359.532	444.603	86	680.175	1016.201	145.7079	104.6317	867.388	332.031	98.3199	87.5171	246.773	215.717	2174.98	181.0001	9130.67	266.648	632.548	61.196	111.3289	243.878	831.786	126.4369	416.446	186.6795	339.608	1116.359	402.066	1657.403	282.273	3217.32	2159.89	63.1589	136.7478	111.0001	1338.963	1942.4458	883.373	787.28	2262.1046	595.932	160.3621	29	302.779	355.496	793.081	669.815	1019.409	958.64	981.656	826.386	2911.67	101	99.854	300.342	62.2124	498.605	81.6663
N:GEXP::CCNE1:898:	168.0001	1111.0003	834.99985	248.00009	290.9998	459.00069	218.00003	928.00023	534.00034	507.99915	108.0001	178.0001	189.00006	196.99995	71.99996	61.99999	498.0004433	2043.9999	219.0002	1717.00113	288.00002	844.00009	48	139.0002	164.9995	702.99963	228.00014	994.0002	294.9995	1042.99924	413.99952	263.00024	1013.00072	719.0001	89.00014	193.99999	1684.99989	230.00026	817.9997	1267.0002	93.00008	188.99958	105	307.9999	360	203.00007	143	89	167	295.0001	127	139.9999	150.999996	458.00023	406.00085	118.00005	388	94.9999	209.9995	57	393.0001	56.00003	109	711.00009	1461	236.99998	391.00015	86	335.99995	58.00003	83.99999	170.99998	120.00014	8.00001	136.00004	192.99977	89.99998	19.00001	70.999949	115.00004	63.99995	17.00001	47.99994	26.00002	283.00053	14	1200.00028	25	213	18	30.00004	101	65.99996	17.000001	27.99996	84.00002888	40.00005	25	411.99999	2120.0032	59	536.00008	1150.00072	22.00001	31.00005	69.00011	139.0004	909.0001	138.99994	88.99994	95.00002	83.9999	58.99997	6	23.00005	37.00001	53	73.00002	106.00003	245.00039	95.00005	147.99977	523.99986	35.00004	87	8.999999	7.000001	74.99992	23.00004
N:GEXP::CCNE2:9134:	313.90265	2150.79986	739.30932	92.25778	573.17836	1036.41579	455.84525	2187.217257	1505.34893	1503.84097	664.91061	331.03118	439.0781	551.57039	306.49609	309.80107	712.6503	1766.854	192.75252	315.29088	610.616	917.5337	130.31456	276.48112	953.37605	3863.2881	453.7424821	1182.74418	337.59539	386.14274	302.89514	337.87651	181.77912	420.5421	719.78245	586.65757	1590.86502	865.0378	1267.56822	2484.85928	274.7093	39.35066	492.98121	259.59296	748.2245037	412.945303	236.92134	331.756035	308.8573	334.81833	108.68882	110.27992	89.884	217.25934	209.65469	274.19373	793.93386	694.16907	1035.855167	269.88815	1388.83159	451.68646	479.5687	1407.249883	999.97513	1955.79228	3636.0778	443.25883	713.68924	413.03307	474.7494	1066.29766	478.14392	123.60785	474.90949	484.38174	121.75104	250.76781	790.57283	189.30218	151.33123	104.88749	347.91849	182.65184	1068.73202	169.9028	10223.0115	368.6906	1372.41801	99.66387	90.713705	216.32884	166.71118	29.162943	158.3069	238.72654	101.99657	165.2291	87.57242	590.6212	186.52274	876.00525	231.46126	127.864073	86.63684	417.4431	732.99502	1026.7947	695.70198	507.83058	1479.88865	992.41784	193.23407	36.40469	264.6491	221.95048	459.15476	289.19842	300.23125	585.4095483	753.74156	591.3498	999.56868	46.35133	1180.62739	91.02158	87.16191	226.83987	89.51747
N:GEXP::CDC20:991:	129.99998	2845.7291	1825.83609	1181.83625	622.9111	929.6894	933.9024	3321.5157	2073.9071	2657.8264	100.5909	197.68047	509.31428	442.84611	555.8978	293.92729	470.7244	5454.2072	332.0004	1742.6042	480.7448	2589.8502	105.0001	120	410.324	3230.7185	201.9384	1757.84356	1316.4268	11052.7065	1060.8105	816.8877	1807.8614	2017.26177	1162.9687	3714.9309	1931.5203	914.8142	1907.7469	2826.76803	129.92772	164.0001	366.2551	1260.9234	2226.73719	1235.89244	1009.96994	686.46884	910.97244	791.9082	561.28871	381.86597	742.8169	3601.98693	1042.89706	181.99973	882.6126	402.96676	1114.98909	112	1466.88566	218.9078	566.88621	4081.926	2198.98592	1109.5227	2900.71133	137.98074	674.00009	89.83103	318.59778	927.6544	419.79883	30.00005	1075.69168	526.764	82.4462	29.99999	552.9416	453.9223	56.00004	18.999975	404.00034	56	1688.9203	24.99998	16770.309	26.00005	695.63985	76.99998	28.6564	263.9868	698.91598	112.00007	293.9593	59.00004	543	626.93687	798.215	1516.294	107	4017.3228	1670.96421	30.99999	32.00003	63.00008	1361.6757	2530.88674	673.91434	860.8533	913.8955	840.7664	108.0001	18.99996	84.99994	123.972	448.95827	262.86273	491.66616	590.85978	677.9681	512.5738	715.97846	12.99999	78	33.00001	6	208.685	28.00002
N:GEXP::CDC6:990:	212.00019	1311.99775	925.99979	352.00011	414	578.00067	520.00058	969.00032	719.99986	802.99985	231.0005	478.00001	427.0004	802.00018	455.00007	196.00029	429.00026	2114.99792	339	1759.9971	285.0005	1025.00022	175.0004	316.00064	441.99973	2475.00094	464.0008	1108.99997	681.00029	1979.0043	382.99973	408.00043	774.0007	860.00022	1510.99855	1383.00288	1690.0049	536.0004	1636.00326	3538.99737	161.00031	68.99998	1192.99724	1253.00468	2290.00325	1284.99517	266.9998	260.9996	1194.00091	1004.0003	565.00015	303.00054	499.00062	1697.0025	769.00021	859.00009	3408.00506	2860.99922	5731.0023	179.00034	1175.00167	839.00058	1027.99993	3377.99674	4208.99895	15126.0045	16397.0127	331.0002	1098.99987	1083.0049	248.00006	420.00048	249.99991	45	278.00008	1189.00251	224.00036	83.0001	677.99971	346.00043	68.99994128	208.99991	836.99979	204	1972.99968	43.00003007	4284.998	188	597.00028	96.99996	213.000167	180.99985	233.0001	48.00005	160.00006	446.99981	270.99999	283.9996	348.0005	768.99981	132.99955	2379.0028	667.00004	147.99993	102.0001	175.00043	898.99993	29178.0218	670.0001	588.99966	1745.00392	346.00027	291.99977	10	140.0005	154.0003	955.00008	370.99989	624.00046	1187.00008	1424.0004	595.00001	2707.00193	59.00003	169.00017	43.999986	82.99993	614.00035	56.00005
